,word,X1
1,make,0.073479197
2,address,0.244465567
3,all,0.200581062
4,num3d,0.00088594
5,our,0.181040172
6,over,0.044544476
7,remove,0.00938307
8,internet,0.038414634
9,order,0.03804878
10,mail,0.167170014
11,receive,0.021710904
12,will,0.536323529
13,people,0.061664275
14,report,0.042403156
15,addresses,0.008317791
16,free,0.073586801
17,business,0.048346485
18,email,0.097291966
19,you,1.270340746
20,credit,0.00757891
21,your,0.438701578
22,font,0.045225968
23,num000,0.007087518
24,money,0.017137733
25,hp,0.895473458
26,hpl,0.431994261
27,george,1.265265423
28,num650,0.193805595
29,lab,0.162794118
30,labs,0.165853659
31,telnet,0.106032999
32,num857,0.077306313
33,data,0.15098637
34,num415,0.077786944
35,num85,0.169454806
36,technology,0.141671449
37,num1999,0.197743902
38,parts,0.018723099
39,pm,0.121678623
40,direct,0.08311693
41,cs,0.072026542
42,meeting,0.216807747
43,original,0.070581062
44,project,0.126635581
45,re,0.415760402
46,edu,0.287184362
47,table,0.008192253
48,conference,0.051226686
49,charSemicolon,0.050280846
50,charRoundbracket,0.158578192
51,charSquarebracket,0.022683644
52,charExclamation,0.109983501
53,charDollar,0.011648494
54,charHash,0.021713056
