,word,X1
1,make,0.152338665
2,address,0.164649752
3,all,0.403794815
4,num3d,0.164671815
5,our,0.513954771
6,over,0.174875896
7,remove,0.275405405
8,internet,0.208141202
9,order,0.170060673
10,mail,0.350507446
11,receive,0.118433536
12,will,0.549972421
13,people,0.143546608
14,report,0.083574186
15,addresses,0.112079426
16,free,0.518361831
17,business,0.287506895
18,email,0.319227799
19,you,2.264539437
20,credit,0.205521236
21,your,1.380369553
22,font,0.238036404
23,num000,0.247054606
24,money,0.212879206
25,hp,0.017479316
26,hpl,0.009172642
27,george,0.001549917
28,num650,0.018797573
29,lab,0.000683949
30,labs,0.005968009
31,telnet,0.001274131
32,num857,0.000518478
33,data,0.0145615
34,num415,0.001776062
35,num85,0.006927744
36,technology,0.029514617
37,num1999,0.043469388
38,parts,0.004710425
39,pm,0.012426917
40,direct,0.036718147
41,cs,5.52E-05
42,meeting,0.002443464
43,original,0.008450083
44,project,0.006243795
45,re,0.125091009
46,edu,0.014726972
47,table,0.001218974
48,conference,0.002101489
49,charSemicolon,0.020573083
50,charRoundbracket,0.108970215
51,charSquarebracket,0.008198566
52,charExclamation,0.513712631
53,charDollar,0.174478213
54,charHash,0.078876999
